titulo,autor,isbn,paginas,ano_publicacao
O Alquimista,Paulo Coelho,9788575427583,176,2015
As Valkírias,Paulo Coelho,9788543100128,192,2014
Adultério,Paulo Coelho,9788543100456,240,2014
O Monte Cinco,Paulo Coelho,9788543100876,192,2014
Manual do Guerreiro da Luz,Paulo Coelho,9788575428429,160,2013
Maktub,Paulo Coelho,9788575429006,192,2013
Brida,Paulo Coelho,9788575429358,224,2013
O Demônio e a Srta. Prym,Paulo Coelho,9788575429839,176,2013
Onze minutos,Paulo Coelho,9788575427514,240,2012
O Alquimista,Paulo Coelho,9788575427583,176,2012
O Diário de um Mago,Paulo Coelho,9788575427620,240,2012
Veronika Decide Morrer,Paulo Coelho,9788575427958,208,2012
Manuscrito encontrado em Accra,Paulo Coelho,9788575428221,176,2012
Na Margem do Rio Piedra Eu Sentei e Chorei,Paulo Coelho,9788575428016,208,2012
O Zahir,Paulo Coelho,9788575428122,304,2012
O Dom Supremo,Paulo Coelho,9788575427224,96,2011
O Aleph,Paulo Coelho,9788575425770,256,2010
Aleph,Paulo Coelho,9788575425770,256,2010
The Winner Stands Alone,Paulo Coelho,9780061750441,368,2008
O Teatro completo de Machado de Assis,Machado de Assis,9788561384456,114,2008
Contos De Amor e Ciume,Machado de Assis,9788561384043,176,2008
O Alquimista,Paulo Coelho,9788598559162,175,2007
Veronika Decide Morrer,Paulo Coelho,9788576651963,224,2006
O Zahir,Paulo Coelho,9788532518194,320,2005
O Diário de um Mago,Paulo Coelho,9788576651888,238,2003
O Monte Cinco,Paulo Coelho,9788532515643,190,2003
O Alquimista,Paulo Coelho,9788532503251,224,2003
O Demônio e a Srta. Prym,Paulo Coelho,9788532515629,192,2003
Onze Minutos,Paulo Coelho,9788532515360,256,2003
Manual do Guerreiro da Luz,Paulo Coelho,9788532515452,154,2003
Brida,Paulo Coelho,9771415748290,221,2001
O Alquimista,Paulo Coelho,9788532503251,247,2001
Brida,Paulo Coelho,9788532500458,288,2001
As Valkírias,Paulo Coelho,9788532501196,240,2001
Na Margem do Rio Piedra Eu Sentei e Chorei,Paulo Coelho,9788532504692,236,2000
Na Margem do Rio Piedra Eu Sentei e Chorei,Paulo Coelho,9788532504692,236,2000
O Diário de um Mago,Paulo Coelho,9788532500342,248,2000
O Alquimista,Paulo Coelho,9788532505644,237,2000
Na Margem do Rio Piedra eu sentei e chorei,Paulo Coelho,9788532504692,235,1997
As Valkírias,Paulo Coelho,9788532501196,239,1995
O Alquimista,Paulo Coelho,9788532505682,126,1995
As Valkírias,Paulo Coelho,9788532505903,124,1995
Brida,Paulo Coelho,9788532505897,128,1995
O Alquimista,Paulo Coelho,9788532505644,220,1995
Maktub,Paulo Coelho,9788532505033,192,1994
Na Margem do Rio Piedra Eu Sentei e Chorei,Paulo Coelho,9788532504692,236,1994
O Dom Supremo,Paulo Coelho,9788532500984,80,1993
O Diário de um Mago,Paulo Coelho,9788532500342,246,1993
As Valkírias,Paulo Coelho,nan,239,1992
Brida,Paulo Coelho,nan,286,1990
Brida,Paulo Coelho,9788532500458,286,1990
O Alquimista,Paulo Coelho,9788576651857,247,1989
Assassinato no expresso oriente,Agatha Christie,9788530601171,192,2020
Asesinato en el Orient Express,Agatha Christie,9786070743986,200,2017
O Diário de um Mago,Paulo Coelho,9788576655602,248,2010
As Valkírias,Paulo Coelho,9788576655640,462,2010
O Alquimista,Paulo Coelho,9788576655657,192,2010
Veronika decide morir,Paulo Coelho,9788408066378,288,2009
O Alquimista,Paulo Coelho,9788576653721,200,2008
Onze minutos,Paulo Coelho,9788576651956,253,2007
Brida,Paulo Coelho,9788576651871,264,2006
Brida,Paulo Coelho,9788576651871,261,2006
O Monte Cinco,Paulo Coelho,9788576651932,200,2006
O Diário de um Mago,Paulo Coelho,9788576651888,248,2006
A Bruxa de Portobello,Paulo Coelho,9788576652175,296,2006
Manual do Guerreiro da Luz,Paulo Coelho,9788576651901,200,2006
Maktub,Paulo Coelho,9788576651895,200,2006
Veronika Decide Morrer,Paulo Coelho,9788576651963,224,2006
As Valkírias,Paulo Coelho,9788576651864,200,2006
Na Margem do Rio Piedra Eu Sentei e Chorei,Paulo Coelho,9788532504692,236,2006
O Demônio e a Srta. Prym,Paulo Coelho,9788576651925,182,2006
Veronika Decide Morrer,Paulo Coelho,9788576651963,214,2006
Brida,Paulo Coelho,9788576655664,249,2006
O Zahir,Paulo Coelho,9788576651949,330,2005
O Cemitério dos Vivos,Lima Barreto,9788576650249,239,2004
O Cavalo Amarelo,Agatha Christie,9788595086814,240,2020
Punição Para A Inocência,Agatha Christie,9788595086791,256,2020
Assassinato no Expresso do Oriente,Agatha Christie,9788595086784,240,2020
Um Corpo na Biblioteca,Agatha Christie,9788595086807,192,2020
Os Quatro Grandes,Agatha Christie,9788595085916,208,2020
Um Mistério no Caribe,Agatha Christie,9788595085909,208,2020
Dossiê,Arthur Conan Doyle,9786555110302,192,2020
Noite Sem Fim,Agatha Christie,9788595085480,224,2020
Morte no Nilo,Agatha Christie,9786555110029,320,2020
A Noite das Bruxas,Agatha Christie,9788595085732,240,2020
Os Crimes ABC,Agatha Christie,9788595085923,240,2020
Passageiro para Frankfurt,Agatha Christie,9788595085947,256,2020
Nêmesis,Agatha Christie,9788520939895,266,2019
Box Coleção Agatha Christie,Agatha Christie,9788595080355,726,2017
Box Coleção Agatha Christie,Agatha Christie,9788595080362,686,2017
A Extravagância do Morto,Agatha Christie,9788595080010,214,2017
Poirot Perde Uma Cliente,Agatha Christie,9788595080027,249,2017
Assassinato na Casa do Pastor,Agatha Christie,9788569514794,253,2017
Um Pressentimento Funesto,Agatha Christie,9788569514800,253,2017
A Casa Torta,Agatha Christie,9788595080034,207,2017
Assassinato no Expresso do Oriente,Agatha Christie,9788595080638,200,2017
Box - Sherlock Holmes - 4 Volumes,Sir Arthur Conan Doyle,9788595080836,1808,2017
Sherlock Holmes - Volume 1,Arthur Conan Doyle,9788595080843,514,2017
Sherlock Holmes - Volume 3,Arthur Conan Doyle,9788595080867,472,2017
Sherlock Holmes - Volume 4,Arthur Conan Doyle,9788595080874,424,2017
"Box Coleção Agatha Christie: M ou N ? , A Casa do Penhasco, Convite para um homicídio",Agatha Christie,9788569809500,680,2016
"Box Coleção Agatha Christie: Hora Zero, O natal de Poirot, Treze à mesa",Agatha Christie,9788569809517,696,2016
Morte no Nilo,Agatha Christie,9788520936511,256,2016
O Mistério dos Sete Relógios,Agatha Christie,9788520939918,266,2016
Os Crimes ABC,Agatha Christie,9788520940105,258,2016
Os Trabalhos de Hércules,Agatha Christie,9788520939901,288,2016
A Maldição do Espelho,Agatha Christie,9788520939802,256,2016
Cem Gramas de Centeio,Agatha Christie,9788520940099,232,2016
Os Crimes ABC,Agatha Christie,9788520940105,248,2015
Cem Gramas de Centeio,Agatha Christie,9788520940099,228,2015
Box Coleção Agatha Christie,Agatha Christie,9788520940488,812,2015
Box Coleção Agatha Christie,Agatha Christie,9788520940495,756,2015
